time,open,high,low,close,Volume,Volume MA,DEMA,EMA,Second EMA,H F,L F,H D,L D,+RBD,+HBD,-RBD,-HBD,TRIN,ADX,Plot,Plot,Schaff_TC,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator,Source 2 - Source 1 DPO,K1,EMA,RSI EMA K1,EMA RSI EMA K1
2018-06-18T09:30:00-04:00,49.7,50.889,49.58,50.49,816955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-06-25T09:30:00-04:00,50.23,50.23,48.97,49.53,3247418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-02T09:30:00-04:00,49.11,50.8164,48.94,50.77,943405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-09T09:30:00-04:00,51.2,51.7998,50.65,51.69,1940368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-16T09:30:00-04:00,51.78,51.78,50.72,50.87,938115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-23T09:30:00-04:00,50.93,52.11,48.638,48.91,2862827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-07-30T09:30:00-04:00,49.02,49.02,47.869,48.91,3020913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-06T09:30:00-04:00,48.91,49.885,48.82,49.27,837239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-13T09:30:00-04:00,49.33,49.63,48.4,48.61,1407187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-20T09:30:00-04:00,48.85,49.44,48.3707,49.44,1647129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-08-27T09:30:00-04:00,49.75,50.06,49.0419,49.18,1299719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,-38024.405948697866,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-04T09:30:00-04:00,49.05,49.05,47.17,47.68,2472611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0310534310931325,NaN,25,-35838.063099079314,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-10T09:30:00-04:00,47.98,48.64,47.5587,48.37,3585248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0822181270039046,NaN,25,-27830.95235175929,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-17T09:30:00-04:00,48.42,49.04,47.86,48.55,16156509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0104851332973936,NaN,25,-13326.559473913629,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-09-24T09:30:00-04:00,48.21,49.53,48.01,49,22408482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0453496735423324,NaN,25,16677.947946679822,0,25,75,NaN,42.31887147596216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-01T09:30:00-04:00,49.17,49.22,47.48,47.82,26547702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9756348845629085,NaN,25,-11656.064473889477,0,25,75,NaN,38.8391431422083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-08T09:30:00-04:00,47.6,48.12,44.93,46.37,22931151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.900905069358215,NaN,25,-85205.51495650446,0,25,75,NaN,32.879590426964356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-15T09:30:00-04:00,46.21,47.74,46,46.72,34697600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9286095934432869,NaN,25,-128109.73507234012,0,25,75,NaN,35.153578710550775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-22T09:30:00-04:00,46.99,47.12,44.04,44.6,17664702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9925515843625372,NaN,25,-234984.00858195632,0,25,75,NaN,29.816073282125814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-10-29T09:30:00-04:00,45.3,46.7484,43.07,45.84,18530545,9197791.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0075146751108726,NaN,25,-314719.83827794937,0,25,75,NaN,31.68076472678193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-11-05T09:30:00-05:00,45.93,46.79,45.01,45.37,10715878,9692737.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9728872897815792,NaN,25,-437080.48014660773,0,25,75,NaN,33.42369405216678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2018-11-12T09:30:00-05:00,45.32,45.37,44.1357,44.88,11472687,10104000.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0978245424605808,NaN,25,-468691.0366893887,0,25,75,NaN,30.76653501431535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
