time,open,high,low,close,Volume,Volume MA,DEMA,EMA,Second EMA,H F,L F,H D,L D,+RBD,+HBD,-RBD,-HBD,TRIN,ADX,Plot,Plot,Schaff_TC,Plot,Plot,Plot,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator,Source 2 - Source 1 DPO,K1,EMA,RSI EMA K1,EMA RSI EMA K1
1998-12-21T09:30:00-05:00,20.78125,21.53125,20.75,21.53125,4100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1998-12-28T09:30:00-05:00,21.5,22,21.3125,21.92187,6700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-04T09:30:00-05:00,21.9375,23.17187,21.65625,23.17187,111700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-11T09:30:00-05:00,23.1875,23.21875,21.5625,22.07812,167900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-18T09:30:00-05:00,22,22,21.04687,21.07812,134500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-01-25T09:30:00-05:00,21.29687,21.82812,20.95312,21.10937,53400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-01T09:30:00-05:00,21.28125,22.4375,21.1875,22.23437,58000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-08T09:30:00-05:00,22.29687,22.35937,21.42187,21.42187,54000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-15T09:30:00-05:00,21.82812,21.82812,20.92187,21.32812,50500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-02-22T09:30:00-05:00,21.25,21.8125,21.25,21.4375,25600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-01T09:30:00-05:00,21.28125,21.625,20.84375,21.625,60800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,-2231.1515722114527,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-08T09:30:00-05:00,21.4375,22.35937,21.4375,22.01562,60900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8530599983763727,NaN,25,-1296.9494032187204,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-15T09:30:00-05:00,22.01562,22.625,21.875,22.32812,34300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8437353778981823,NaN,25,-208.5422569705379,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-22T09:30:00-05:00,22.23437,22.46875,21.625,21.75,125600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8266009698746961,NaN,25,199.42979705325888,0,25,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-03-29T09:30:00-05:00,21.98437,22.21875,21.71875,22,44700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7741554310433221,NaN,25,69.28873961255613,0,25,75,NaN,55.431934897618895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-05T09:30:00-04:00,22.0625,22.45312,21.875,22.3125,147000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7346173311168617,NaN,25,64.38785778760666,0,25,75,NaN,57.38421814020421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-12T09:30:00-04:00,22.3125,26.40625,22.3125,25.59375,1561300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.763661248022833,NaN,25,15586.824423801787,0,25,75,NaN,71.75438394530526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-19T09:30:00-04:00,25.59375,26.84375,25,25.625,1302500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8945845731246539,NaN,25,30834.611937179958,0,25,75,NaN,74.45404980312321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-04-26T09:30:00-04:00,25.75,27.79687,25.1875,27.125,1522100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8884234357977685,NaN,25,51919.056189431154,0,25,75,NaN,77.46691366871559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1999-05-03T09:30:00-04:00,27.21875,28.3125,27.125,28.20312,1062300,329395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8336520179153917,NaN,25,76373.47258989865,0,25,75,NaN,80.25820385916202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
