date,open,high,low,close,X,y,X_original,y_original,mean_x,std_x,mean_y,std_y,atr,symbol,mean_prediction_HLCC,trade_result_mean,y_pred_HLCC_conv1D_model,trade_result_conv1D_model,y_pred_HLCC_gru_model,trade_result_gru_model
2018-01-18,279.48,282.69,278.58,282.69,"[ 0.98345702 -1.69922522 -1.19573439 -0.59494332 -0.35463812 -0.02821576
 -0.2929255   0.39339365  1.05838453  1.07503759  1.63886653]",1.9269863628161545,"[270.135    271.481175 273.0875   273.73     274.60275  273.895
 275.73     277.507975 277.5525   279.06    ]",280.4475,274.67819000000003,2.6736832512986703,274.81694000000005,2.9219511402100844,1.3653571428571556,SPY,277.4449550301146,-0.011420157202524496,275.85149470229203,-0.011420157202524496,279.0384153579372,0.0
2018-01-19,279.8,283.62,279.14,283.29,"[ 0.92115313 -1.63364323 -0.99422989 -0.73847649 -0.39106983 -0.67279663
  0.05764303  0.76538334  0.78310695  1.38318204  1.44090071]",2.001283958879771,"[271.481175 273.0875   273.73     274.60275  273.895    275.73
 277.507975 277.5525   279.06     279.205   ]",281.76,275.58519,2.512185595905483,275.84069,2.957756181343381,1.4210714285714394,SPY,277.697258982784,-0.012396045711706698,276.4824849311904,-0.012396045711706698,278.91203303437754,-0.012396045711706698
2018-01-22,280.17,284.7,280.11,283.18,"[ 0.88889938 -1.38083873 -1.11670185 -0.75790736 -1.04886903 -0.29448589
  0.43645381  0.4547584   1.07450367  1.13411433  1.49897266]",2.08086448441889,"[273.0875   273.73     274.60275  273.895    275.73     277.507975
 277.5525   279.06     279.205    280.0925  ]",282.8041666666667,276.4463225,2.4324509691474243,276.71748916666667,2.9250715486644467,1.4446428571428669,SPY,278.7020150529795,-0.010686176067088575,277.41771451674725,-0.010686176067088575,279.98631558921176,0.0
2018-01-23,282.74,284.7,281.84,283.3,"[ 0.98151002 -1.35360538 -1.02654686 -1.29177249 -0.60411578  0.0621711
  0.07885661  0.64378439  0.69812239  1.0307084   1.76239762]",1.994969568027759,"[273.73     274.60275  273.895    275.73     277.507975 277.5525
 279.06     279.205    280.0925   282.045   ]",283.22875,277.34207250000003,2.6684826720547137,277.4604475,2.891423805377938,1.4067857142857219,SPY,280.3377836099994,-0.001978659397584383,278.5545795010998,-0.001978659397584383,282.120987718899,0.0
2018-01-24,284.02,286.6285,281.84,286.58,"[ 1.0578046  -1.27795828 -1.52370129 -0.88655763 -0.26921403 -0.25375418
  0.26967583  0.32002233  0.62817764  1.30611933  1.68719027]",1.885968558190887,"[274.60275  273.895    275.73     277.507975 277.5525   279.06
 279.205    280.0925   282.045    283.1425  ]",284.16029166666664,278.2833225,2.8800412067028214,278.3851016666666,3.0621878476806916,1.3525000000000043,SPY,281.29202712468316,-0.008973071071589806,279.57313718676124,-0.008973071071589806,283.0109170626051,0.0035591851247207666
2018-01-25,284.16,286.6285,282.405,284.68,"[ 1.07811805 -1.78642124 -1.16208959 -0.55715986 -0.54201088 -0.02910627
  0.02022784  0.3221866   0.98649589  1.35990405  1.38797346]",1.7211425048455233,"[273.895    275.73     277.507975 277.5525   279.06     279.205
 280.0925   282.045    283.1425   283.225   ]",284.77612500000004,279.1455475,2.9391430146058326,279.30066,3.1812967169104214,1.3653571428571476,SPY,281.5971520095488,-0.001828282627265007,280.3192045500852,-0.001828282627265007,282.87509946901235,0.004532004214240397
2018-01-26,284.25,286.6285,281.22,281.76,"[ 0.95367583 -1.67920358 -0.99411063 -0.97695416 -0.39608119 -0.3402095
  0.00176381  0.75410509  1.17699603  1.20878509  1.24490904]",1.5454405542204468,"[275.73     277.507975 277.5525   279.06     279.205    280.0925
 282.045    283.1425   283.225    283.31875 ]",284.45954166666667,280.0879225,2.5952317864318397,280.20200166666666,2.7549037640904928,1.3910714285714343,SPY,282.0282100819686,0.007847030944112144,281.0067105390722,0.008798487882749536,283.04970962486505,0.004231598027799443
2018-01-29,285.93,286.43,280.68,281.9,"[ 0.98811867 -1.34044077 -1.32386517 -0.76265848 -0.7086784  -0.37828309
  0.3485866   0.75715996  0.78787276  0.82277368  1.79753292]",1.0077729892604212,"[277.507975 277.5525   279.06     279.205    280.0925   282.045
 283.1425   283.225    283.31875  285.937125]",283.1288333333334,281.108635,2.6861761213014184,280.82780583333334,2.2832795922509264,1.439150000000004,SPY,284.232941860475,0.005952905832676406,282.34931583660244,0.012602012605674565,286.1165678843476,0.0
2018-01-30,282.6,284.736,280.68,281.58,"[ 0.96706835 -1.63962855 -1.06648307 -1.01135465 -0.67393069  0.06840201
  0.48566713  0.5170333   0.55267668  1.5481724   1.21944543]",0.18849023909263105,"[277.5525   279.06     279.205    280.0925   282.045    283.1425
 283.225    283.31875  285.937125 285.0725  ]",282.013,281.86508749999996,2.6302222529961696,281.55913749999996,2.4078833057077778,1.665935714285715,SPY,283.66052286331967,0.0037457108891000104,282.78281897817607,0.0,284.5382267484633,0.006835138959301452
2018-01-31,282.73,283.3,275.41,275.45,"[ 0.78965778 -1.49217927 -1.42634925 -1.02342413 -0.13698887  0.36127628
  0.39873129  0.44129381  1.63003641  1.23749654  0.01010718]",-0.8763617249004567,"[279.06     279.205    280.0925   282.045    283.1425   283.225
 283.31875  285.937125 285.0725   282.369   ]",280.1016666666667,282.3467375000001,2.202642518409706,282.1200041666667,2.303087232876683,1.8412928571428568,SPY,282.3006881280274,0.0,282.6350800300389,0.0,281.96629622601586,0.0
2018-02-01,281.07,283.06,263.31,263.93,"[ 0.65474402 -1.78226581 -1.32114296 -0.30667268  0.26356094  0.30642588
  0.35513604  1.71557835  1.26634078 -0.13833036 -0.35863018]",-2.3083833980130066,"[279.205    280.0925   282.045    283.1425   283.225    283.31875
 285.937125 285.0725   282.369    281.945   ]",275.03833333333336,282.6352375,1.9246497801954126,281.9445708333334,2.9918069528418596,1.8884357142857116,SPY,282.4086244344105,0.004751296303457793,282.76872341867806,0.006025583160010151,282.0485254501429,0.003475383567855838
2018-02-02,280.08,280.23,258.7,269.13,"[ 0.46745281 -1.75117216 -0.5277429   0.15994654  0.21164073  0.27038413
  1.91104821  1.36927739 -0.3247257  -0.59040253 -0.72825371]",-2.78827557543168,"[280.0925   282.045    283.1425   283.225    283.31875  285.937125
 285.0725   282.369    281.945    281.725   ]",270.0183333333334,282.8872375,1.5959238943026837,281.7165708333334,4.195509799345743,1.9362928571428557,SPY,282.36118064285904,-0.03988074240710831,282.836805553081,-0.03988074240710831,281.88555573263716,-0.03988074240710831
